d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Jose Freitas,Local Guide,2 reseñas,Hace 4 meses,Nueva,"compré una olla a presión, vino manipulada, piezas reemplazadas. dañado, mandaron basura, así es, basura, porque ni el empaque era de la propia sartén. el servicio de atención al cliente de la empresa es horrible,…",Me gusta,
Elci Paschoalini,Local Guide,19 reseñas,Hace 3 meses,Nueva,"terrible, no se lo recomiendo a nadie. descuido total. hice la compra, el producto fue pésimo, no funcionó, lo devolví bien, estuvo en análisis por más de un mes. hasta el momento no han dado un solo puesto. evite…",Me gusta,
Karla Bumlai,Local Guide,5 reseñas,Hace 3 meses,Nueva,"¡no compres en esta tienda! venden un producto que no tienen, emiten una factura, pero no envían el producto. no contactan con el cliente y el sistema nos impide cancelar para solicitar la devolución del dinero. tengo…",Me gusta,
Fabio Cardoso Silva,Local Guide,2 reseñas,Hace un mes,Nueva,"compré un producto a través de la aplicación americanas, la persona encargada de entregarlo a la empresa olist, la entrega estaba programada para el 16 de diciembre de 2022. estoy esperando y hasta el día de hoy 20 de…",Me gusta,
Silvio Flores,Local Guide,11 reseñas,Hace 3 meses,Nueva,"lo compré a través de magazine luiza, para regalar y me arrepentí. me han cambiado tres veces el plazo de entrega y aún no he recibido el producto. ¡empresa irresponsable, que avergüenza a brasil!…",Me gusta,
Alexandre Bittencourt,Local Guide,· 86 reseñas,Hace un mes,Nueva,"mi producto no fue transportado de manera adecuada y profesional por olist y llegó roto. después de un tiempo de insistencia, me llamaron y culparon al empaque hecho por el fabricante del producto. tuve que tirar el…",Me gusta,
Dayvane Andrade,Local Guide,1 reseña,Hace 3 meses,Nueva,"compré un televisor y hasta el momento no lo he recibido, el plazo de entrega era hasta el día 22/09 y hasta ahora no lo he recibido el medio día del 23/09, el televisor llegó a aracaju el día 21/09, se suponía que…",Me gusta,
Ana Gabriela Martins Silva,Local Guide,3 reseñas,Hace un mes,Nueva,"mala experiencia, lo compre a través de americanas, ¡eran un socio!, simplemente compré un juego de sábanas de 4 piezas de lujo, y me enviaron otra cosa, ¡publicidad engañosa!…",Me gusta,
Luiz Saccarelli,Local Guide,7 reseñas,Hace 3 meses,Nueva,"mala experiencia con esta empresa amateur. compré un producto a través de la web de mercado libre, y aun después de confirmar el pago retrasaron la entrega del producto que era un regalo y luego cancelaron el pedido.…",Me gusta,
Priscila Godoi,Local Guide,1 reseña,Hace un mes,Nueva,"¡qué basura de empresa! retrasaron mi pedido y después de mucho intentar contactarlos, lo cancelaron por ""problemas operativos"". ¡ridículo, necesitan mejorar demasiado para poder llamarlos malos todavía!…",Me gusta,
CHPL,Local Guide,12 reseñas,4 semanas atrás,Nueva,"hice una compra en el mercado de magalu para que olist me entregara un producto, no me entregaron los productos y aparece como un pedido entregado. estoy tratando de resolver, pero hasta ahora solo aplazamiento.…",Me gusta,
Cristiana Queiroga,Local Guide,1 reseña,Hace 3 meses,Nueva,"compré un producto en mercado libre y lo conseguí!!!
no cumplieron con el plazo, no me contestaron y encima me jodieron!!! porque compre un producto, confiando en el tiempo de entrega, para un evento y simplemente…",Me gusta,
Priscila Matias,Local Guide,4 reseñas,Hace un mes,Nueva,"¡mala compañía!
¡tomó más de 30 días para hacer un cambio y arreglar mi producto! acaba de llegar el mismo producto! ¡no limpiaron! ¡no hicieron nada! ¡la aspiradora acaba de…",Me gusta,
Gabriela Ribeiro Gomes Gabi,Local Guide,2 reseñas,Hace 2 meses,Nueva,"intenté registrarme para vender mis productos, a través de la página web y fue un fracaso, lo intenté a través de soporte, me llamaron para ""entrevistarme"" me tomaron datos y luego desaparecieron, ya le pregunté a la…",Me gusta,
Gabriela Cruz Oliveira,Local Guide,2 reseñas,Hace 2 meses,Nueva,"¡horrible! compré un panel de tv que venía con el agujero equivocado, y cuando me comuniqué me dijeron que no podían ayudarme y que buscara qué hacer en internet. descuido total, si pudiera dejaría cero estrellas.…",Me gusta,
Thiago Bento,Local Guide,6 reseñas,Hace 4 meses,Nueva,"hasta el día de hoy estoy esperando mi mercadería comprada en el sitio web de casas bahia, pero vendida y entregada por ustedes, ya hice el reclamo, intenté cancelar la compra, nada más hasta ahora. !!!!!…",Me gusta,
Arthur Vereda,Local Guide,2 reseñas,Hace 3 meses,Nueva,"compré y pagué el envío para recibirlo de urgencia, no lo recibí, pregunté a la tienda y no obtuve respuesta, pedí la cancelación, la tienda no respondió y entregó tarde. mala experiencia, no lo recomiendo !!!!!!…",Me gusta,
Anderson Lobo,Local Guide,4 reseñas,3 semanas atrás,,"horrible empresa compre un producto a traves del interbancario y la entrega se atraso, no logro contactar a nadie de esta empresa!!! entré al sitio web y me enviaron un correo electrónico que no existe y después de…",Me gusta,
Mariazinha Plays,Local Guide,2 reseñas,Hace 2 meses,Nueva,"les compré un paquete de gránulos de madera de 20 kg por cobasi, mucho más barato que en otros sitios y llegó antes del tiempo estipulado.…",Me gusta,
Sthefany Menezes,Local Guide,3 reseñas,Hace un mes,Nueva,"empresa no cumple con los plazos de entrega, falta de ética con el cliente, no puede hablar, trate de resolver, compré un árbol de navidad que debía llegar el 23/11 y hasta ahora nada, no puedo cancelar la compra y…",Me gusta,
,,,,,,,
ShinobiGamerBr000,Local Guide,1 reseña,Hace 6 meses,Nueva,"gabinete extraordinario! demoró alrededor de una semana para belém/pa, el producto llegó en perfectas condiciones, felicitaciones al vendedor, es 100% recomendable!…",,Me gusta
Adenilson silva,Local Guide,4 reseñas,Hace un mes,Nueva,"me asocié con olist pero cancelé antes de los 7 días. me reembolsaron enseguida. pero ahora, 6 meses después, se produjo un cargo directo en la tarjeta por un monto de 1464,00 r$, ¡eso es todo! fue cancelado no tengo…",Me gusta,
Uiliames borges,Local Guide,2 reseñas,Hace un mes,Nueva,mi hermano compro un parlante para los eventos y hasta ahora no lo ha recibido y siempre da fechas de entrega. muy malo…,Me gusta,
Fernando Domingues Lima,Local Guide,1 reseña,3 semanas atrás,,"decepción total, compré un reloj para regalar, pagué en efectivo dicen que fue entregado, pero hasta ahora nada.…",,Me gusta
Julio Braga,Local Guide,· 65 reseñas,3 semanas atrás,,"un servicio de basura. no cumple con los tiempos de entrega, miente en las fechas, no compre en esta tienda. arruinaron mi navidad. entrega prometida antes de navidad y nunca entregada. basura.…",,Me gusta
Karina de assis da silva,Local Guide,8 reseñas,Hace 5 meses,Nueva,"realicé la compra en la web el 09/08/2022 a través de la web de carrefour, el producto sería el kit epson t504 4 tintas.
pues el 17/08 me comunique con la tienda para informarme del pedido cuyo estado…",Me gusta,
ANA COELHO,Local Guide,5 reseñas,Hace un mes,Nueva,"¡mala compañía! venden y no entregan, o entregan la mercancía equivocada. no facilitan un teléfono de contacto y tratan al cliente con total desprecio. ¡¡¡horrible!!! ¡escapa de esta trampa!…",Me gusta,
paulo cesar,Local Guide,· 158 reseñas,Hace un mes,Nueva,"empresa sin respeto por el consumidor.
compré un producto y me enviaron otro, de mucho menos valor y que no me sirve.
pedí un cambio o reembolso y simplemente me ignoraron.…",Me gusta,
Gilson Lage,Local Guide,2 reseñas,Hace 3 meses,Nueva,"después de 6 meses de uso, simplemente eliminó todo lo que estaba archivado, 6 meses de trabajo, simplemente desaparecieron las hojas de cálculo, el ssd está como nuevo. (zerado).la pregunta es que ya se perdieron los…",Me gusta,
Alda Ribeiro,Local Guide,· 35 reseñas,3 semanas atrás,,"si eres de olist puedes saber que te va a dar dolor de cabeza, desde el servicio hasta recibir la compra, todo mal, he tenido problemas con esta empresa mas de una vez, no responden, no ayudan, no dan ninguna…",Me gusta,
Paulo Henrique Sant'Anna,Local Guide,1 reseña,una semana atrás,,"envié 2 productos por un valor de más de brl 3.000,00 cada uno, al cumplimiento en olist (hub barueri), y 1 de ellos acaba de desaparecer, hace 5 meses, ¡decenas de convocatorias abiertas y sin solución!…",,Me gusta
RAILAN OLIVEIRA DA SILVA,Local Guide,1 reseña,Hace un mes,Nueva,"los muchachos me envían un mensaje de texto hecho en americanas, ni siquiera se molestan en responder y brindar servicio al cliente, no tienen la competencia suficiente para llamarse una gran tienda ... ""tienda…",Me gusta,
Lenilsa Santos,Local Guide,1 reseña,Hace 2 meses,Nueva,"wow, me encantó tanto el producto que podemos llevarlo a cualquier parte
después de que es pequeño no ocupa espacio…",,Me gusta
daniel gomes,Local Guide,4 reseñas,Hace un mes,Nueva,"compré un producto por r$ 450,00 a través de americanas, vino dañado, nunca pude devolverlo, perdí mi dinero. nunca más…",Me gusta,
SUPER DAVI davizera,Local Guide,2 reseñas,Hace un mes,Nueva,"no lo recomiendo, tengo el pedido retrasado desde el 12/08.
hoy ya es 15.…",,Me gusta
eloisa muniz,Local Guide,3 reseñas,2 semanas atrás,,"pésimo, compré una lonchera que viene con una botella y un frasco, la botella no vino, estoy tratando de reclamar que no hay servicio en la tienda…",,Me gusta
Marcos Caurla,Local Guide,4 reseñas,Hace 2 meses,Nueva,"compré un grifo para un tanque y una lavadora, llegó antes de la fecha límite, pero vino con un caño roto, una pena…",,Me gusta
Walmir Cordeiro,Local Guide,10 reseñas,Hace un mes,Nueva,"el producto llegó bien embalado, a tiempo y con la calidad positivamente esperada.…",,Me gusta
Nathalia Williams,Local Guide,3 reseñas,Hace un año,Nueva,¡me enviaron el producto equivocado! ¡compré un micrófono bluetooth y me enviaron unos auriculares con orejas de gato! y peor que me parece que lo hicieron a proposito ya que cuando comunique lo sucedido solo me…,Me gusta,
Marciamarcia Vieira,Local Guide,2 reseñas,Hace 9 meses,Nueva,lo compre por primera vez en olist con un poco de miedo por algunos comentarios... pero estoy muy contenta porque mis productos llegaron bien empacados y antes de la fecha de entrega 😍 comprare mas seguido …,Me gusta,
Tatiana Fernanda Nunes Ugeda,Local Guide,2 reseñas,Hace un año,Nueva,"el servicio fue excelente, atento y siempre dando seguimiento y respondiendo preguntas! el producto llego mucho antes de lo esperado!!! el cuadro, quedó hermoso en el dormitorio, se lo regalé a mi esposo a quien le…",Me gusta,
Ana Silva,Local Guide,2 reseñas,Hace un año,Nueva,"mi experiencia fue genial!! el producto llegó antes de lo previsto, sin ningún problema y tuve apoyo en todo momento para cualquier duda.…",Me gusta,
Daniel Menezes,Local Guide,7 reseñas,Hace un año,Nueva,"la mejor experiencia que he tenido en mercado pago. tienda muy seria... manda varios mensajes mientras llega el pedido y cumple el plazo incluso con antelación, incluso dándonos la sensación de sorpresa. ¡felicidades!…",Me gusta,
Eracliton Souza,Local Guide,3 reseñas,Hace 8 meses,Nueva,"una excelente compra, el producto gamer chair que compre es muy bueno, de fácil y rápido montaje, el servicio fue de primera, la atención brindada desde confirmación de compra, cuidado en el envío y confirmación de…",Me gusta,
Luciana Antunes,Local Guide,8 reseñas,Hace 5 meses,Nueva,"cualquiera que haya comprado en esta empresa y haya recibido el producto adecuado tuvo mucha suerte. aquí en los comentarios vi varias situaciones parecidas a la mía. empresa estafa, actúa de mala fe, anuncia un…",Me gusta,
Roberta Northrup,Local Guide,· 114 reseñas,Hace un año,Nueva,"compré un libro de fútbol para mi esposo para su cumpleaños y cuando lo recibí, ¡encontré una hermosa tarjeta de agradecimiento escrita a mano y también un libro de romance para mí! ¡estaba encantado! ¡seguro que has…",Me gusta,
Michele edf,Local Guide,2 reseñas,Hace 4 meses,Nueva,"la peor experiencia que tuve, compre una tablet de la revista luiza para regalarle a mi hija por su cumpleaños y hasta el momento no ha llegado, es su cumpleaños y no le llegó el regalo, cancelé el producto y hasta el…",Me gusta,
Bruno Henrique,Local Guide,5 reseñas,Hace 3 meses,Nueva,"nunca compres nada de esta empresa, es un auténtico lío, no te entregan nada a tiempo y estás perdido, ya que no tienes ninguna explicación de lo que ha pasado con tu pedido. la peor empresa que he visto…",Me gusta,
nelson moura,Local Guide,3 reseñas,Hace 6 meses,Nueva,"compré el producto y todavía no lo he recibido.

su servicio es una vergüenza. la compra se realizó el 30/06. el envio llego…",Me gusta,
Dr.Othon Victor,Local Guide,3 reseñas,Hace 5 meses,Nueva,"me están perjudicando, porque vendieron un producto diferente a los anuncios, y estoy más de 10 días fuera del trabajo de mi clínica por y sin poder realizar la inauguración, empresa.sin.compromiso con el consumidor.…",Me gusta,
Matheus Ribeiro,Local Guide,7 reseñas,Hace 6 meses,Nueva,"no lo recomiendo, tuve una mala experiencia de compra.

no cumplieron con el plazo de entrega del producto y el mismo (un microondas)…",Me gusta,
Jaqueline Rodrigues,Local Guide,4 reseñas,Hace 6 meses,Nueva,"compré un progressive zap, y vino con uno falso completamente diferente, huele a todo, incluso el plástico en el empaque es demasiado blando y no hay marca de agua en el débil, y mi original es decepcionante.…",Me gusta,
Luiza Rocha,Local Guide,2 reseñas,Hace 6 meses,Nueva,"mala plataforma. he intentado por todos los medios ponerme en contacto y nadie es capaz de ayudar. incluso el asistente de chat en el sitio es grosero y hace un mal servicio y, además de eso, terminó el chat antes de…",Me gusta,
Ronaldo Oliveira,Local Guide,10 reseñas,Hace 4 meses,Nueva,"empresa desvergonzada, sin respeto por el consumidor. compré 2 herramientas a través de americanas con el olist, los pedidos se realizaron el 02/09/2022 y solo se entregó una herramienta el 09/09/2022 y afirman que…",Me gusta,
José Francisco,Local Guide,4 reseñas,Hace 5 meses,Nueva,"muy buena. realmente me dieron el mismo producto que el anuncio, muy bueno, y llegó muy rápido. nota 10 al vendedor.…",,Me gusta
Marcilene menezes,Local Guide,2 reseñas,Hace 6 meses,Nueva,"contraté el sitio para administrar mi tienda en línea, pero tuve problemas con el acceso y nunca me lo solucionaron, solicité la devolución del monto pagado por el sitio, dijeron que lo harían, hasta el día de hoy…",Me gusta,
Cinthia Campos,Local Guide,4 reseñas,Hace 5 meses,Nueva,"compré un control remoto htv3 el jueves y me dijeron que me lo entregarían el sábado, no me lo entregaron y me dijeron que están consultando con el proveedor, cancelé la compra porque lo necesitaba el sábado, lo…",Me gusta,
Wagner Brasil,Local Guide,32 reseñas,Hace 6 meses,Nueva,"olista nunca mas! terrible asistencia! compré dos luminarias de olist en mercado libre que serían entregadas el día 12/07, como no llegó me ​​quejé y ahora dicen que la fecha esperada es recién el día 18 y el mismo…",Me gusta,
espião na estrada,Local Guide,1 reseña,Hace 5 meses,Nueva,tuve una mala experiencia con la lista me entregaron mi producto incompleto trato de hablar con ellos solo mandan un mensaje electronico no dan satisfaccion descuidan al cliente cuando voy a comprar mirare si es por…,Me gusta,
Cristina Borba,Local Guide,3 reseñas,Hace 4 meses,Nueva,"compré guantes de nitrilo. se entregó un pastel de guante sin caja, solo envuelto en papel. no sé si es eso lo que pedí. el método de entrega no fue higiénico. no pude enviar la denuncia a través de la web de…",Me gusta,
Sergio Faria,Local Guide,· 213 reseñas,Hace 6 meses,Nueva,"quiero destacar el excelente trabajo de logística, fue realmente bueno. producto bien embalado, llegó antes de lo estipulado y el precio es mucho mejor que el de la competencia. recomiendo a todos…",,Me gusta
R. Aguiar,Local Guide,1 reseña,Hace 6 meses,Nueva,"buenas noches
me gusto la compra muy rapido y eficiente la entrega llego de acuerdo a la imagen y el anuncio de la app de mercado livre la mercaderia original de primera…",,Me gusta
Carlos Augusto Gil,Local Guide,· 19 reseñas,Hace un año,Nueva,compré un protector de cárter para mi motocicleta en olist y me sorprendió la rapidez de entrega. muy buen producto con gran acabado y bien envasado. la mejor relación calidad-precio en este artículo que compré en…,Me gusta,
Juliana Lopes,Local Guide,3 reseñas,Hace 6 meses,Nueva,"horrible. compré un producto de mercado libre, el artículo me llegó perdido. en lugar de enviarme lo que faltaba, me pidieron que lo devolviera y luego me lo reembolsarían. ha pasado más de un mes desde que regresé y…",Me gusta,
Mikasa Sukasa,Local Guide,5 reseñas,Hace 4 meses,Nueva,"¡horrible! contratan a la persona, aseguran carrera antes de 3 meses, los despiden por ""bajar costos"" pero si abres el gupy, hay vacantes anunciadas desde hace 5 días. es más bonito decir que lo haces a propósito que…",Me gusta,
Sergio Cardoso,Local Guide,4 reseñas,Hace 4 meses,Nueva,hice una compra de 2 botes de perfume me llego uno y nadie me lo soluciona. cada contacto tiene que hablar con una persona y aún no lo resuelven o mejor aún no contestan. ahora mismo estoy pendiente del teléfono para…,Me gusta,
Marcos César Arias,Local Guide,19 reseñas,Hace 5 meses,Nueva,horrible. no entregaron el producto que compré en el mercado libre. siguen enviando mensajes para rastrear el pedido y eso es todo. arruinaron la sorpresa de mi aniversario de bodas. olist nunca más.…,Me gusta,
Liege Soares,Local Guide,6 reseñas,Hace 6 meses,Nueva,"¡no compre en esta empresa!
llevo esperando la devolución desde el 19 de mayo, por un producto de mala calidad que he devuelto, de momento nada... lo único que saben es que hay mucha…",Me gusta,
Juliana Souza,Local Guide,3 reseñas,Hace 5 meses,Nueva,"lo recomiendo mucho, ya que tuve un problema con la entrega y todo el equipo estuvo disponible para ayudar y recibí la mercancía 😍�…",,Me gusta
laura dionisio lopes,Local Guide,2 reseñas,Hace 4 meses,Nueva,"pésimo, compré un producto y me salió otro más barato, con el empaque abierto me lo entregaron en otra dirección y aún con una persona rota. además de todo eso, no puedo hablar con nadie en el olist o el americano.…",Me gusta,
Silvanio Telles,Local Guide,· 31 reseñas,Hace 6 meses,Nueva,"mal servicio, compra realizada y no entregan mercadería y no extorsionan ni cancelan pedido, lamentablemente horrible experiencia con ellos, atención al cliente ni siquiera se molesta en responder mensajes…",,Me gusta
Edu Rocha,Local Guide,· 83 reseñas,Hace 5 meses,Nueva,"compré un producto a través de mercado livre, lo recibí tal como se describe en el anuncio y con excelente empaque, mostrando total cuidado con el producto, que por cierto es de excelente calidad.…",,Me gusta
carlos henrique silva,Local Guide,5 reseñas,Hace 5 meses,Nueva,"no cumplen lo que dicen, prometen una cita y llega un mes después. las dos experiencias que tuve con el olist fueron terribles. las perreras de servicio y los defensores del pueblo no funcionan. sinceramente, no se lo…",Me gusta,
sandro luiz,Local Guide,8 reseñas,Hace 3 meses,Nueva,"mal servicio de entrega. en 20 años de compras en mercadolivre, el primer envío vía olist se retrasa 3 días y ni siquiera dan pronóstico. la mejor entrega es de mensajeros privados. denuncia formalizada en mercado…",Me gusta,
Daniel Ximenes,Local Guide,4 reseñas,Hace 3 meses,Nueva,no compre aquí. compré una vitamina conicx y me enviaron un kit de omega 3. me alegro de que estuviera en el mercado abierto y logré recuperar mi dinero.…,Me gusta,
Agatha Freitas,Local Guide,7 reseñas,Hace 4 meses,Nueva,el pedido tenía como fecha límite de entrega el día 23/08 y se entregó exactamente el día 23/08 a las 8 am. ¡están de enhorabuena!…,,Me gusta
Ana maria Lavanhini,Local Guide,1 reseña,Hace 4 meses,Nueva,"llegó mi kit de profesor, muy bien embalado y a tiempo. no lo he usado pero creo que será excelente!!!…",,Me gusta
Wilttellan Cardoso,Local Guide,1 reseña,Hace 5 meses,Nueva,"horrible, mi producto está retenido en los ingresos del estado y no pagan el boleto.. no se lo recomiendo a nadie y me pregunto qué tan serias son las empresas que tienen al olista como socio.…",,Me gusta
Ana Boncini,Local Guide,1 reseña,Hace 5 meses,Nueva,"wow, que experiencia tan horrible estoy teniendo con esta empresa, es lamentable que lo hagan con el consumidor ahora que nos debitan la tarjeta es muy rápido y los productos no se entregan y la fecha sigue cambiando.…",,Me gusta
Dayla Lima,Local Guide,4 reseñas,Hace 5 meses,Nueva,"compré un producto a través de la app de casas bahía, canceló el pedido y no me devolvió el dinero. entonces es fácil…",,Me gusta
Gabriela Rodrigues,Local Guide,11 reseñas,Hace 4 meses,Nueva,"la computadora vino defectuosa y quieren que espere 30 días para recibir asistencia... ¡una computadora nueva que acabo de comprar! quiero devolverlo, tengo un plazo por ml y ahora ya no responden. ¡desgraciado!…",Me gusta,
Carlos Vinicius Frota de Oliveira Silva,Local Guide,· 137 reseñas,Hace 5 meses,Nueva,"pésimo servicio, entrega tardía y sin respuesta, nunca digo donde está el producto, no recomiendo esta empresa para nada, usa otra que no sea esta.…",Me gusta,
Leide Cavalcante,Local Guide,1 reseña,Hace 3 meses,Nueva,"¡horrible!
vende lo que no tienes, y luego cancelas por falta del producto, y encima no reembolses la tarjeta inmediatamente, para poder volver a comprar en una empresa…",Me gusta,
preto cd 's o moral de umburana,Local Guide,1 reseña,Hace 5 meses,Nueva,el producto llego todo bien solo que el acabado no esta muy bien terminado pero se ve bien…,,Me gusta
Samuel Pires,Local Guide,36 reseñas,Hace 2 meses,Nueva,"horrible. compré un producto en ml con ellos, ha pasado más de 1 mes y no hay entrega. ¡negligencia!…",Me gusta,
Roberto Veeren,Local Guide,2 reseñas,Hace 3 meses,Nueva,"el equipo no se entregó a tiempo, no hay un número de teléfono de contacto y se espera que el contacto a través de chat regrese dentro de las 6 horas.…",Me gusta,
ahds hang,Local Guide,1 reseña,Hace 3 meses,Nueva,"ya me han contestado mejor, llevo días intentando contactar con mi cuenta de ventas y no consigo hablar con nadie... la verdad es que tienen un pésimo servicio.…",Me gusta,
Antônio Gonçalves,Local Guide,2 reseñas,Hace 5 meses,Nueva,"excelente, producto entregado a tiempo, bien embalado, con gran calidad, lo recomiendo....…",,Me gusta
Ursula Metelmann,Local Guide,2 reseñas,Hace 2 meses,Nueva,"empresa basura, envió charola eléctrica aplastada y no quiere ser responsable, compra realizada por submarino, alguien tiene que soportar, no puedo con 280.00 de perdida…",,Me gusta
